name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN,year,age,make,model
2009 dodge ram 1500 4x4 Hemi 5.7L crew cab,5650,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2009-dodge-ram-x4-hemi-57l/5KcLgPREjcythzRTPkfdkf,,,,gas,160000,,clean,automatic,pickup,,2009.0,17.0,Dodge,Ram 1500
2014 Ford E-350 Bucket Truck,12950,Burnaby,https://www.craigslist.org/view/d/burnaby-2014-ford-350-bucket-truck/sW4LXjLq4CcGHnbcPrTex1,excellent,8.0,rwd,gas,204882,blue,clean,automatic,van,,2014.0,12.0,Ford,E350
Ford Escape 2009,4500,East Vancouver,https://www.craigslist.org/view/d/vancouver-ford-escape-2009/iZpFA6SHjFoGTSx8TrCff8,good,6.0,4wd,gas,280000,,clean,automatic,SUV,,2009.0,17.0,Ford,Escape
2009 Mercedes Benz b200,1750,Burnaby,https://www.craigslist.org/view/d/burnaby-2009-mercedes-benz-b200/wQ8yCjShnw41LHFfjrCiJh,,,,gas,140000,,clean,automatic,,,2009.0,17.0,Mercedes-Benz,B 200
2014 Chevrolet Cruze LT,5800,New Westminster,https://www.craigslist.org/view/d/new-westminster-southwest-2014/mUqGs8kERAeu2zKoqHyRsc,excellent,4.0,fwd,gas,146000,,clean,automatic,sedan,,2014.0,12.0,Chevrolet,Cruze
Quick Moving * 2016 Subaru WRX sports PKG . 6 speed manual*Clean Title,15500,Surrey,https://www.craigslist.org/view/d/surrey-upper-west-quick-moving-subaru/7vUUDc4RGP5qwgGVR3sniy,excellent,4.0,4wd,gas,170000,,clean,manual,sedan,,2016.0,10.0,Subaru,WRX
2009 Nissan Rogue SL AWD  SUV .. Automatic.. 4 cylinders,3900,Surrey,https://www.craigslist.org/view/d/surrey-upper-west-2009-nissan-rogue-sl/eC3x1VQg8yrQNGeWFqT7BZ,good,4.0,4wd,gas,237000,,clean,automatic,SUV,,2009.0,17.0,Nissan,Rogue
2013 Sprinter 2500 high roof extra long base cargo van camper van,1234,Surrey,https://www.craigslist.org/view/d/surrey-north-2013-sprinter-2500-high/oDzKawhSa9Pwk7S66zPLPz,excellent,6.0,rwd,diesel,1234,white,salvage,automatic,van,,2013.0,13.0,,
2017 Subaru Crosstrek  eyesighted  camera AWD SUV 71k Outback Forester,11550,109xx 139a st Surrey,https://www.craigslist.org/view/d/surrey-north-2017-subaru-crosstrek/tT8NwZL61maxFXxgBtNhpx,excellent,4.0,4wd,gas,71000,grey,rebuilt,automatic,SUV,,2017.0,9.0,Subaru,Crosstrek
2016 Nissan Leaf EV great condition no issue 120kms for full charge,6550,109xx 139a st Surrey,https://www.craigslist.org/view/d/surrey-north-2016-nissan-leaf-ev-great/bc8YnZzAdZ21quL5JGi31Y,excellent,,fwd,electric,122000,grey,rebuilt,automatic,hatchback,,2016.0,10.0,Nissan,
