name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN,year,age,make,model
2010 BMW 328i Xdrive,6900,Vancouver,https://www.craigslist.org/view/d/vancouver-2010-bmw-328i-xdrive/cZaraMpZe2W5mvXWScmTYA,like new,6.0,4wd,gas,254775,,clean,automatic,sedan,,2010.0,16.0,BMW,328i
2015 Audi Q5 Quattro TFSI,7500,Fraser Valley,https://www.craigslist.org/view/d/abbotsford-southwest-2015-audi-q5/cyBQvbfywdxjEFD5RNKSNT,excellent,4.0,fwd,gas,200500,black,clean,automatic,SUV,,2015.0,11.0,Audi,TT
2013 Ford Escape 4WD clean title,6700,tricities/pitt/maple,https://www.craigslist.org/view/d/coquitlam-2013-ford-escape-4wd-clean/ugbXnUEwraNRfzLEhL85rE,,,,gas,123300,,clean,automatic,SUV,,2013.0,13.0,Ford,Escape
2006 Toyota Tacoma crew cab TRD 4x4 canopy,14199,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2006-toyota-tacoma-crew-cab/637hJuAEiny2GQBsjCnXUv,,,,gas,218000,,clean,automatic,pickup,,2006.0,20.0,Toyota,Tacoma
2008 Mitsubishi Eclipse Spyder GS,5999,Burnaby,https://www.craigslist.org/view/d/burnaby-2008-mitsubishi-eclipse-spyder/1KV5Cz6vjztNAnCfKFQqKX,excellent,4.0,fwd,gas,115000,blue,clean,automatic,convertible,,2008.0,18.0,Mitsubishi,Eclipse Spyder
2026 Honda Civic Sport,4500,burnaby/newwest,https://www.craigslist.org/view/d/vancouver-2026-honda-civic-sport/hNSY1Kma13jRr32BVPpsTS,good,4.0,fwd,gas,31000,,clean,automatic,sedan,,2026.0,0.0,Honda,Civic
2023 Tesla Model Y Performance,45000,tricities/pitt/maple,https://www.craigslist.org/view/d/port-coquitlam-central-2023-tesla-model/r22b6qaFPEV6cBMiCUQzgw,,,,electric,95000,,clean,automatic,,,2023.0,3.0,,
2007 Jeep Compass,2000,city of vancouver,https://www.craigslist.org/view/d/vancouver-2007-jeep-compass/ng2shKZnYWbkUi2dbpYks8,fair,4.0,fwd,gas,231300,silver,clean,automatic,SUV,,2007.0,19.0,Jeep,Compass
Toyota Prius 2015,18900,burnaby,https://www.craigslist.org/view/d/burnaby-toyota-prius-2015/rHih6o2pg3Eoh6LewTo9tt,like new,4.0,fwd,hybrid,110000,silver,clean,automatic,hatchback,,2015.0,11.0,Toyota,Prius
2008 GMC Savana 2500 extended Cargo van,3995,Burnaby,https://www.craigslist.org/view/d/burnaby-2008-gmc-savana-2500-extended/bAPuQCuhMgBLuH7Bak7La9,,,,gas,244593,,clean,automatic,truck,,2008.0,18.0,GMC,
2012 Mazda 5,4900,Surrey,https://www.craigslist.org/view/d/surrey-2012-mazda/edK4Sij4RuFaSvEa31qFkt,excellent,4.0,fwd,gas,214500,grey,clean,automatic,minivan,,2012.0,14.0,Mazda,Mazda5
"103,000 KM 2007 JAGUAR XK V8 DROP TOP CONVERTIBLE",24900,West Vancouver BC,https://www.craigslist.org/view/d/west-vancouver-km-2007-jaguar-xk-v8/7Vcke86xbaLeZGoxiJJwQg,excellent,8.0,rwd,gas,103000,silver,clean,automatic,convertible,,2007.0,19.0,Jaguar,XK
"103,000 KM 2007 JAGUAR XK V8 DROP TOP CONVERTIBLE",24900,West Vancouver BC,https://www.craigslist.org/view/d/west-vancouver-km-2007-jaguar-xk-v8/4V8D4h1FsFUoGn6tKQLWb3,excellent,8.0,rwd,gas,103000,silver,clean,automatic,convertible,,2007.0,19.0,Jaguar,XK
"103,000 KM 2007 JAGUAR XK V8 DROP TOP CONVERTIBLE",24900,West Vancouver BC,https://www.craigslist.org/view/d/west-vancouver-km-2007-jaguar-xk-v8/r9GeahWHbkj9QsRXGp7GF2,excellent,8.0,rwd,gas,103000,silver,clean,automatic,convertible,,2007.0,19.0,Jaguar,XK
"2003 TOYOTA COROLLA 4 CYL AUTO DRIVES GREAT NO ISSUES MECH 321,000 KM",1600,Vancouver,https://www.craigslist.org/view/d/vancouver-2003-toyota-corolla-cyl-auto/6FYkJPmMTyt8ySUU9qAZMg,excellent,4.0,fwd,gas,321000,silver,clean,automatic,sedan,,2003.0,23.0,Toyota,Corolla
2010 Infinti EX35,6900,Richmond,https://www.craigslist.org/view/d/richmond-2010-infinti-ex35/9LifNh9xixQ2X2xa9PAe26,excellent,6.0,4wd,gas,229000,black,clean,automatic,SUV,,2010.0,16.0,,
2002 Ford F150 FX4 Supercrew 4x4,11900,n delta,https://www.craigslist.org/view/d/burnaby-2002-ford-f150-fx4-supercrew-4x4/jSTKoEhtEefmDu7DuhscUk,like new,8.0,4wd,gas,234000,brown,clean,automatic,pickup,,2002.0,24.0,Ford,F-150
Kia Rondo 2014 Grey Metalic 5 seats,5800,Vancouver,https://www.craigslist.org/view/d/vancouver-kia-rondo-2014-grey-metalic/moRZPmGreMsMZg4BK439BH,excellent,4.0,fwd,gas,166000,grey,rebuilt,automatic,SUV,,2014.0,12.0,Kia,Rondo
2011 Ram 1500 Crew Cab Big Horn 4x4 with Low KM,10000,Vancouver,https://www.craigslist.org/view/d/vancouver-2011-ram-1500-crew-cab-big/k6zZak9BAT3YAhP6zJ6j71,excellent,8.0,4wd,gas,175300,grey,clean,automatic,truck,,2011.0,15.0,Ram,1500
Toyota Camry 2007 (Clean title)-215000 km,4999,Richmond,https://www.craigslist.org/view/d/richmond-toyota-camry-2007-clean-title/dhyF22hrYDvGN7tSdHBTbz,excellent,6.0,fwd,gas,215000,purple,clean,automatic,sedan,,2007.0,19.0,Toyota,Camry
2003 Ford Focus 5door 5speed manual ZTW Wagon,2800,Surrey,https://www.craigslist.org/view/d/surrey-outer-northwest-2003-ford-focus/cwfmojEr84Cu15Pd9WfMhp,good,4.0,fwd,gas,260000,blue,clean,manual,hatchback,,2003.0,23.0,Ford,Focus
2003 Ford F-150 XTR Super Cab 4x4,3900,Surrey,https://www.craigslist.org/view/d/surrey-outer-northwest-2003-ford-150/86FQqsesTa3UsZRRQraDFY,good,8.0,4wd,gas,365000,red,clean,automatic,pickup,,2003.0,23.0,Ford,F-150
2012 Kia rio,5500,Surrey,https://www.craigslist.org/view/d/white-rock-2012-kia-rio/7T1MHBN5q3uWkSzuK8gQx2,like new,4.0,4wd,gas,185000,blue,clean,automatic,sedan,,2012.0,14.0,Kia,Rio
"Title: 2016 Porsche Cayenne (Base V6) – Ultra-Low 83,500 km",28266,Vancouver,https://www.craigslist.org/view/d/port-coquitlam-central-title-2016/auyaxWBof378vzkvQgjuPu,excellent,4.0,4wd,gas,83500,black,clean,automatic,SUV,,2016.0,10.0,Porsche,Cayenne
2009 Nissan Altima Sedan Auto  4cyl!!,3250,delta/surrey/langley,https://www.craigslist.org/view/d/abbotsford-2009-nissan-altima-sedan/1oZsVL3NyQdwvGi547eWqh,excellent,4.0,fwd,gas,213000,silver,clean,automatic,sedan,,2009.0,17.0,Nissan,Altima
"2003 HONDA ACCORD EX 4 CYL AUTO FULLY LOADED DRIVES PERFECT 270,000 KM",2000,Vancouver,https://www.craigslist.org/view/d/vancouver-2003-honda-accord-ex-cyl-auto/mxYWRdxorcrX7mMfN7HYFm,excellent,4.0,fwd,gas,270000,silver,clean,automatic,sedan,,2003.0,23.0,Honda,Accord EX
2008 Porsche 911 Carrera S Coupe,75000,Coquitlam,https://www.craigslist.org/view/d/coquitlam-2008-porsche-911-carrera-coupe/eELX2ndNvtX7dTCEydaHKB,excellent,6.0,rwd,gas,32000,,clean,manual,coupe,,2008.0,18.0,Porsche,911 Carrera S
2018 Mercedes-Benze B250-55880KM- All Wheel Drive,22900,burnaby/newwest,https://www.craigslist.org/view/d/new-westminster-southwest-2018-mercedes/17CX6hUHm28HK6H6ukkaqX,like new,4.0,4wd,gas,55880,white,clean,automatic,hatchback,,2018.0,8.0,Mercedes-Benz,B 250
1994 C4 Corvette,17500,Burnaby,https://www.craigslist.org/view/d/burnaby-1994-c4-corvette/tCwMRx1vZr2PM6wVwcxgQi,excellent,8.0,rwd,gas,63000,black,clean,automatic,coupe,,1994.0,32.0,,
2016 Volkswagen Tiguan,8995,Surrey,https://www.craigslist.org/view/d/surrey-2016-volkswagen-tiguan/cKrDYkLUGrnSSR26pV1A7w,excellent,4.0,4wd,gas,160000,grey,rebuilt,automatic,SUV,,2016.0,10.0,Volkswagen,Tiguan
2022 Chevy Equinox RS,17995,Surrey,https://www.craigslist.org/view/d/surrey-2022-chevy-equinox-rs/2JnMLyQg5U8CfRAfAwB7bZ,excellent,4.0,4wd,gas,51600,silver,clean,automatic,SUV,,2022.0,4.0,Chevrolet,Equinox
2001 Ford Explorer Sport trac,18997,VANCOUVER,https://www.craigslist.org/view/d/vancouver-2001-ford-explorer-sport-trac/m2FnFTgB5iYFdyg5kTxuCq,good,6.0,,gas,175000,,clean,automatic,SUV,,2001.0,25.0,Ford,Explorer Sport Trac
2008 TOYOTA VELLFIRE Z - G PACKAGE W/ 100K KM 3.5L V6 4WD,15995,Surrey,https://www.craigslist.org/view/d/surrey-2008-toyota-vellfire-package/wpUd2h2RVuB5G54quoP8Tw,excellent,6.0,4wd,gas,100000,silver,clean,automatic,van,,2008.0,18.0,Toyota,
BMW 440i xDrive 2019,35000,Burnaby,https://www.craigslist.org/view/d/burnaby-bmw-440i-xdrive-2019/gcdukdvGoiTRBTqRshcqsQ,like new,6.0,4wd,gas,120000,black,clean,automatic,coupe,,2019.0,7.0,BMW,440i
2010 Ford Edge SEL AWD SUV,3700,Burnaby,https://www.craigslist.org/view/d/burnaby-2010-ford-edge-sel-awd-suv/mdzadbnY3yGqoesAppUotC,excellent,6.0,4wd,gas,240000,silver,clean,automatic,SUV,,2010.0,16.0,Ford,Edge
2008 Hyundai Entourage/Sedona ReadyToWork,2499,Surrey,https://www.craigslist.org/view/d/surrey-north-2008-hyundai-entourage/6rwn6TiCy2StWRehgueM84,good,6.0,fwd,gas,251689,grey,clean,automatic,minivan,,2008.0,18.0,Hyundai,Entourage
2019 Audi S5 Sportback,42000,South Surrey / Grandview,https://www.craigslist.org/view/d/surrey-2019-audi-s5-sportback/1fhTLarRQFzxHHmhDfAR8s,like new,6.0,,gas,66000,black,clean,automatic,,,2019.0,7.0,Audi,S5
2005 Pontiac sun fire,2550,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-outer-northwest-2005-pontiac-sun/wfUyppt7VXQtFLw5ZD8njt,,,,gas,169000,,clean,automatic,,,2005.0,21.0,Pontiac,Sunfire
2009 Nissan Cube ACCold GasSaver Runs&Drives,2298,Surrey,https://www.craigslist.org/view/d/surrey-north-2009-nissan-cube-accold/9MyNA4LqJ65HYWqz3Ex28P,good,4.0,fwd,gas,272688,white,clean,automatic,sedan,,2009.0,17.0,Nissan,Cube
"2007 Toyota Yaris ""5 Speed Manual"" Only 155,000KM Clean Title Car.",5500,Surrey,https://www.craigslist.org/view/d/surrey-2007-toyota-yaris-speed-manual/18pcE828ALeRJXsPJhr3hg,excellent,4.0,fwd,gas,155000,black,clean,manual,hatchback,,2007.0,19.0,Toyota,Yaris
"2009 Bmwx5 4,8 sport",12500,west coquitlam,https://www.craigslist.org/view/d/coquitlam-north-2009-bmwx5-48-sport/7e91gompLLKTYyiwzDLGMG,excellent,8.0,4wd,gas,131000,grey,clean,automatic,SUV,,2009.0,17.0,BMW,X5
2015  Toyota corolla S,12950,COQUITLAM,https://www.craigslist.org/view/d/coquitlam-north-2015-toyota-corolla/i1QvyedvnMxfLrgc5Y8K6n,like new,4.0,fwd,gas,159000,blue,clean,automatic,sedan,,2015.0,11.0,Toyota,Corolla
2006 Honda crv,3400,Surrey,https://www.craigslist.org/view/d/surrey-outer-northwest-2006-honda-crv/cghyGEJcM67bcPo9Podpwz,fair,4.0,4wd,gas,276441,black,rebuilt,automatic,SUV,,2006.0,20.0,Honda,CR-V
2014 Audi Q5 quattro 3.0L tdi 35mpg,6300,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2014-audi-q5-quattro-30l/kGrsvfyrAuCLFERJGdHgpe,,,,diesel,20000,,clean,automatic,SUV,,2014.0,12.0,Audi,TT
2006 NISSAN MURANO AWD,1950,surrey,https://www.craigslist.org/view/d/surrey-north-2006-nissan-murano-awd/3ZM5easBV3Sht2iW5HVitY,fair,6.0,4wd,gas,209000,orange,rebuilt,automatic,SUV,,2006.0,20.0,Nissan,Murano
2010 Honda Ridgeline 4WD | 1 Owner | BC Local,16000,Surrey,https://www.craigslist.org/view/d/surrey-2010-honda-ridgeline-4wd-owner/abSJjALnvytk7YW8DoQ4UY,excellent,6.0,4wd,gas,196600,black,clean,automatic,truck,,2010.0,16.0,Honda,Ridgeline
2024 Nissan Pathfinder SV AWD,40000,Surrey,https://www.craigslist.org/view/d/surrey-2024-nissan-pathfinder-sv-awd/pgzrSJ3a91P1xZNmaqoXxT,like new,6.0,4wd,gas,38800,white,clean,automatic,SUV,,2024.0,2.0,Nissan,Pathfinder
1999 BMW 325I | 105Km’s,5800,Surrey,https://www.craigslist.org/view/d/surrey-1999-bmw-325i-105kms/bkhaJVDLJcRpphjN4XixK3,like new,6.0,rwd,gas,105100,silver,clean,automatic,sedan,,1999.0,27.0,BMW,325i
2024 GMC Canyon Elevation,53000,Surrey,https://www.craigslist.org/view/d/surrey-2024-gmc-canyon-elevation/cv5Awoxr4WbdNgu8vNBVXt,like new,4.0,4wd,gas,5300,grey,clean,automatic,truck,,2024.0,2.0,GMC,Canyon
2017 Toyota Sienna LE | Bluetooth | Tri-Zone Climate Control,25000,Surrey,https://www.craigslist.org/view/d/surrey-2017-toyota-sienna-le-bluetooth/rBFhYcbbfBs3XTq9WPyiPX,excellent,6.0,fwd,gas,127800,white,clean,automatic,minivan,,2017.0,9.0,Toyota,Sienna
2013 Ford F-150 XLT Super Crew,18000,Surrey,https://www.craigslist.org/view/d/surrey-2013-ford-150-xlt-super-crew/gpsvFEet7Tpqzh3fwomNCg,excellent,8.0,4wd,gas,162600,blue,clean,automatic,truck,,2013.0,13.0,Ford,F-150
2014 Mitsubishi RVR SE S-AWC,12000,Surrey,https://www.craigslist.org/view/d/surrey-2014-mitsubishi-rvr-se-awc/nUSuHMTYi2uHXiaHjYNZh5,excellent,4.0,4wd,gas,143300,grey,clean,automatic,SUV,,2014.0,12.0,Mitsubishi,RVR
2022 Chevrolet Camaro SS,49000,Surrey,https://www.craigslist.org/view/d/surrey-2022-chevrolet-camaro-ss/wHoR27pUton1evGWFNadzf,like new,8.0,rwd,gas,58100,white,clean,automatic,coupe,,2022.0,4.0,Chevrolet,Camaro SS
2021 Nissan Rogue Platinum AWD,28000,Surrey,https://www.craigslist.org/view/d/surrey-2021-nissan-rogue-platinum-awd/d6PJAGHrYP2a9gHkLWrMmN,,4.0,4wd,gas,26355,black,clean,automatic,SUV,,2021.0,5.0,Nissan,Rogue
2015 Silverado High Country,16500,Mission,https://www.craigslist.org/view/d/mission-2015-silverado-high-country/bpbdnExkpT56Ak2TJifXnT,,8.0,,gas,279000,blue,clean,automatic,pickup,,2015.0,11.0,,
2018 Hyundai Santa Fe XL AWD Limited,17995,Langley,https://www.craigslist.org/view/d/langley-city-2018-hyundai-santa-fe-xl/eRaumjzK588qmHM6Bi3QkQ,excellent,6.0,4wd,gas,140700,white,clean,automatic,SUV,KM8SNDHF0JU278039,2018.0,8.0,Hyundai,Santa Fe XL
2018 Ford Police Interceptor awd hard to find,7999,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2018-ford-police/9EeXMsMqcno7fUoYh7cMKw,,,,gas,198000,,clean,automatic,,,2018.0,8.0,Ford,
"2010 Mazda 3 Touring clean title 114k new clutch, tires and brakes",6700,tricities/pitt/maple,https://www.craigslist.org/view/d/surrey-2010-mazda-touring-clean-title/6iCfPchBfaPuATdo3H3J8p,,,,gas,114000,,clean,manual,sedan,,2010.0,16.0,Mazda,Mazda3
2003 Mercedes Benz E320 Sports Edition with Airmatic suspension,8900,Surrey(Guildford),https://www.craigslist.org/view/d/surrey-north-2003-mercedes-benz-e320/ceHM4vtC9dEufyD6fMufq2,excellent,6.0,rwd,gas,205000,silver,clean,automatic,sedan,,2003.0,23.0,Mercedes-Benz,E 320
1998 Eagle Talon ESI $4950 or best offer,4950,Surrey (Guildford),https://www.craigslist.org/view/d/surrey-north-1998-eagle-talon-esi-4950/5FMggvBLGvm6CGyzQwt6cW,good,4.0,fwd,gas,113,black,clean,automatic,,4E3AK44Y4WE094801,1998.0,28.0,Eagle,Talon ESi
"2013 Hyundai Elantra Well maintained, gas miser",3400,delta/surrey/langley,https://www.craigslist.org/view/d/delta-east-2013-hyundai-elantra-well/wWenrptBQd38avVDH7gk2Z,good,4.0,fwd,gas,234000,white,rebuilt,automatic,sedan,,2013.0,13.0,Hyundai,Elantra
INFINITI G35X 2008,11999,delta/surrey/langley,https://www.craigslist.org/view/d/vancouver-infiniti-g35x-2008/nsmDjQEZbUWQcnU6eo4LbA,,,,gas,135000,,clean,automatic,,,2008.0,18.0,Infiniti,G35x
INFINITI G35X 2008,11999,delta/surrey/langley,https://www.craigslist.org/view/d/vancouver-infiniti-g35x-2008/3V66pMpxcJJACJZeyBmvsd,,,,gas,135000,,clean,automatic,,,2008.0,18.0,Infiniti,G35x
INFINITI G35X 2008,12000,delta/surrey/langley,https://www.craigslist.org/view/d/vancouver-infiniti-g35x-2008/kEDFRmXbYmBX3umJtBY7va,,,,gas,125000,,clean,automatic,,,2008.0,18.0,Infiniti,G35x
INFINITI G35X 2008,11999,delta/surrey/langley,https://www.craigslist.org/view/d/vancouver-infiniti-g35x-2008/56uA4x95RRFNi7j2mn53dX,,,,gas,125000,,clean,automatic,,,2008.0,18.0,Infiniti,G35x
2008 INFINITI G35X,12000,delta/surrey/langley,https://www.craigslist.org/view/d/vancouver-2008-infiniti-g35x/pc1L1YNzqq6rSv5iBHsJ5g,,,,gas,125000,,clean,automatic,,,2008.0,18.0,Infiniti,G35x
2017 Jaguar F-Pace S,14800,Richmond,https://www.craigslist.org/view/d/richmond-2017-jaguar-pace/5hUxyfpoFrvcofPxxBk8Af,like new,4.0,4wd,gas,163000,white,clean,automatic,SUV,,2017.0,9.0,Jaguar,F-PACE S
2007 Volvo S80 - Fully Loaded! - $9500,9500,Richmond,https://www.craigslist.org/view/d/richmond-southwest-2007-volvo-s80-fully/xsQHr3QyYXYLfAB7QULE9U,excellent,,,gas,98200,,clean,automatic,,,2007.0,19.0,Volvo,S80
1992 Dodge Stealth   R/T,4500,Qualicum Beach,https://www.craigslist.org/view/d/qualicum-beach-1992-dodge-stealth-t/utXFws5ppVbEY5Cs29cYXM,,,,gas,242000,,clean,manual,,,1992.0,34.0,Dodge,Stealth R/T
1997 Suzuki Sidekick 4x4,2000,Vancouver,https://www.craigslist.org/view/d/vancouver-1997-suzuki-sidekick-4x4/dpvqTQziZzqQJDuCTcY6od,fair,4.0,4wd,gas,329250,white,clean,automatic,SUV,,1997.0,29.0,Suzuki,Sidekick
1990 Mercedes Benz SL 500,17500,richmond,https://www.craigslist.org/view/d/richmond-southwest-1990-mercedes-benz/8VPQgHLb6NyGKamnFaCjsR,excellent,,,gas,171000,silver,clean,automatic,convertible,,1990.0,36.0,Mercedes-Benz,SL 500
2019 Ford Expedition Limited Stealth,45500,richmond,https://www.craigslist.org/view/d/richmond-northeast-2019-ford-expedition/nALnv5iH97S43M6gxkDDaH,,,4wd,gas,70000,grey,clean,automatic,SUV,,2019.0,7.0,Ford,Expedition
1974 Toyota Corolla,22250,richmond,https://www.craigslist.org/view/d/richmond-west-1974-toyota-corolla/d3cdx95FQnnWTsQ6xLcYKU,,,,gas,41000,,clean,automatic,sedan,,1974.0,52.0,Toyota,Corolla
2019 Isuzu NRR 3 ton with possible job,33000,Vancouver,https://www.craigslist.org/view/d/vancouver-2019-isuzu-nrr-ton-with/eDCpYZ4nZ8j5yTSMZDTEib,,,,diesel,300000,,clean,automatic,truck,,2019.0,7.0,Isuzu,
2012 BMW 328I Hardtop  Convertible 78K km only! NO ACCIDENTS,17900,Richmond,https://www.craigslist.org/view/d/richmond-2012-bmw-328i-hardtop/hubfaZciFuJX9K4sQcKqM1,excellent,6.0,,gas,78900,white,clean,automatic,convertible,WBADW3C56CE821777,2012.0,14.0,BMW,328i
2014 Ford F-350 Lariat Dually,27950,Surrey,https://www.craigslist.org/view/d/burnaby-2014-ford-350-lariat-dually/dqJMQpzoSwHPVqdNa7DW16,good,8.0,4wd,diesel,266504,white,clean,automatic,truck,,2014.0,12.0,Ford,
"2005 Volkswagen Jetta GLS 2.0L with 167,564 km",7000,Burnaby,https://www.craigslist.org/view/d/burnaby-2005-volkswagen-jetta-gls-20l/7NTYjijqhN4PM4br4knYdd,excellent,4.0,fwd,gas,167564,black,clean,automatic,sedan,,2005.0,21.0,Volkswagen,Jetta GL
2009 Nissan Rogue,2500,Vancouver,https://www.craigslist.org/view/d/vancouver-2009-nissan-rogue/6qiSwhTAnS5gvDQpj6eYQv,good,4.0,4wd,gas,260000,grey,clean,automatic,SUV,,2009.0,17.0,Nissan,Rogue
*2006 FORD E450 17FT HIGH CUBE BOX DIESEL LOW MILEAGE,15000,Vancouver,https://www.craigslist.org/view/d/vancouver-2006-ford-e450-17ft-high-cube/fPuBAmEMNHJMziwirxwTbV,excellent,,,diesel,207000,white,clean,automatic,truck,,2006.0,20.0,Ford,
2000 GMC T8500 EXC CONDITION,22000,Burnaby,https://www.craigslist.org/view/d/vancouver-2000-gmc-t8500-exc-condition/4iHxv3S5Fr3JwAtsv7aFFW,like new,6.0,,diesel,250000,red,clean,automatic,truck,1GDL7C1CXYJ522946,2000.0,26.0,GMC,
1998 VW GTI 5-spd 2.0L hatchback w/ power sunroof,5900,north vancouver,https://www.craigslist.org/view/d/north-vancouver-1998-vw-gti-spd-20l/rqMa7by3bTc8JaCfmP7gLG,good,4.0,fwd,gas,311000,black,clean,manual,hatchback,,1998.0,28.0,Volkswagen,GTI
*2000 GMC T7500 26FT PWR TAILGATE LOW KMS*,22000,Burnaby,https://www.craigslist.org/view/d/vancouver-2000-gmc-ft-pwr-tailgate-low/2Z66Aq94vm68vMvZ2N5jUo,excellent,,,diesel,207000,white,clean,automatic,truck,,2000.0,26.0,GMC,
2002 FORD E350 SUPER DUTY,12000,Vancouver,https://www.craigslist.org/view/d/vancouver-2002-ford-e350-super-duty/iTM6shPoDR2AEjh6CLcNWL,good,,,gas,358000,white,clean,automatic,truck,,2002.0,24.0,Ford,E350
1962 gmc stepside,7500,Surrey,https://www.craigslist.org/view/d/surrey-inner-northwest-1962-gmc-stepside/vaEypV33JdejAs1rhmiVrF,good,,rwd,gas,123456,,clean,other,pickup,,1962.0,64.0,GMC,
2005 long wb montana with 100% solid body & rear wheelchair ramp,4500,surrey,https://www.craigslist.org/view/d/surrey-inner-northwest-2005-long-wb/bosmwuADTzPZ5y4YVKomMR,good,6.0,rwd,gas,123456,white,clean,automatic,van,,2005.0,21.0,Ram,
2005 Infiniti FX45,5000,Kerrisdale,https://www.craigslist.org/view/d/vancouver-2005-infiniti-fx45/hpX1XWnCm1uUpoC7DT2dMx,excellent,8.0,4wd,gas,265000,brown,clean,automatic,SUV,,2005.0,21.0,Infiniti,FX45
2006 Acura TL Premium,1500,Marine Drive,https://www.craigslist.org/view/d/vancouver-2006-acura-tl-premium/qYGGahMr31aJddjcZ3QuKM,excellent,6.0,fwd,gas,330000,silver,clean,automatic,sedan,,2006.0,20.0,Acura,TL
2004 TSX 6 Speed Manual,8999,Vancouver,https://www.craigslist.org/view/d/vancouver-2004-tsx-speed-manual/rke5xPDKitRc9gCoXWoWng,excellent,4.0,fwd,gas,244000,silver,clean,manual,sedan,,2004.0,22.0,,
2009 Infiniti FX50S Rare SUV with low kms,11800,Central Richmond/Brighouse Station,https://www.craigslist.org/view/d/richmond-2009-infiniti-fx50s-rare-suv/mKoyGKdzg24WD1jA7fJdzd,like new,,,gas,92000,,rebuilt,automatic,SUV,,2009.0,17.0,Infiniti,FX50
Corvette Convertible 50th Anniversary 2003,35000,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-south-corvette-convertible-50th/ham1z2fu4rKYdm1WaniNjy,like new,,,gas,35994,white,clean,automatic,convertible,,2003.0,23.0,,
1988 mustang gt 5.0 convertible,20850,Vancouver,https://www.craigslist.org/view/d/vancouver-1988-mustang-gt-50-convertible/9DZGbSkVe6pqbqsUMGu57G,excellent,8.0,,gas,193000,blue,clean,manual,convertible,,1988.0,38.0,,
2008 Lexus LS600h UI Trim,16000,Surrey,https://www.craigslist.org/view/d/surrey-east-2008-lexus-ls600h-ui-trim/8DCTRaa7DMTPZyT9HBJLT3,excellent,8.0,4wd,hybrid,109000,white,clean,automatic,sedan,,2008.0,18.0,Lexus,
1999 Dodge 24V Cummins DIESEL 2WD.. 379kms. w.40k on Tranny!!!,8000,"Duncan,B.C.",https://www.craigslist.org/view/d/duncan-1999-dodge-24v-cummins-diesel/kp582UDhboJxXKmLEMB6AV,good,6.0,rwd,diesel,379000,white,clean,automatic,truck,,1999.0,27.0,Dodge,
2015 Ford focus ST,13500,Vancouver,https://www.craigslist.org/view/d/vancouver-2015-ford-focus-st/45QTF62oWAEytUhuMVsSGj,excellent,4.0,fwd,gas,118000,white,clean,manual,hatchback,,2015.0,11.0,Ford,Focus ST
2015 BMW 328i xDrive M Sport,15500,city of vancouver,https://www.craigslist.org/view/d/vancouver-2015-bmw-328i-xdrive-sport/gwvUVrCerzM3BiAugefKts,excellent,4.0,fwd,gas,104000,blue,clean,automatic,sedan,,2015.0,11.0,BMW,328i
Toyota vellfire 2009,15000,Tsawwassen,https://www.craigslist.org/view/d/delta-southwest-toyota-vellfire-2009/hNqPcgvfW8JxE51one5xsP,excellent,6.0,fwd,gas,94110,black,clean,automatic,van,,2009.0,17.0,Toyota,
!! 2005 Yukon !!,10000,Coquitlam,https://www.craigslist.org/view/d/coquitlam-yukon/5YCPWk4wRfaEe81XFALaZ9,,,,gas,258000,,clean,automatic,SUV,,2005.0,21.0,,
2020 Nissan NV200. No Accidents,17950,Surrey,https://www.craigslist.org/view/d/burnaby-2020-nissan-nv200-no-accidents/vbjL2QaTtogkxCi7xWctfe,excellent,4.0,fwd,gas,78388,white,clean,automatic,van,,2020.0,6.0,Nissan,
2009 Mazda Tribute FWD,3250,South Surrey,https://www.craigslist.org/view/d/surrey-2009-mazda-tribute-fwd/4Ez8g6sgQDDuJQ9EwJUZcf,good,4.0,fwd,gas,341581,black,clean,automatic,SUV,,2009.0,17.0,Mazda,Tribute
2006 Bmw 525i luxury no accident clean,2850,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2006-bmw-525i-luxury-no/g6BeifWXUQzFSxSaUfgk81,,,,gas,195000,,clean,automatic,sedan,,2006.0,20.0,BMW,525i
2022 Ford F-250 XLT 4x4 No Accidents,22950,Surrey,https://www.craigslist.org/view/d/burnaby-2022-ford-250-xlt-4x4-no/apS4CXtTvPQ5VDRN5icKhb,excellent,8.0,4wd,gas,236889,white,clean,automatic,truck,,2022.0,4.0,Ford,F-250
2008 FORD ESCAPE XLT  4 WD * LADY DRIVEN EXCELLENT ON FUEL,7000,Greater Vancouver,https://www.craigslist.org/view/d/surrey-north-2008-ford-escape-xlt-wd/g6gQmHgixf37BWUjKB4NAJ,good,4.0,4wd,gas,294259,grey,clean,automatic,SUV,,2008.0,18.0,Ford,Escape
2010 Mercedes C250 automatic,6250,burnaby/newwest,https://www.craigslist.org/view/d/burnaby-2010-mercedes-c250-automatic/uq36rxMczi1q4U3b11ndf1,excellent,6.0,4wd,gas,145000,white,clean,automatic,sedan,,2010.0,16.0,Mercedes-Benz,C 250
