name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt
2008 BMW 650i Convertible,7000,"267,000",0,https://www.craigslist.org/view/d/delta-northeast-2008-bmw-650i/j8A3wNu9zCfawbb9svZcBa,good,gas,black,clean,automatic,convertible,8 cylinders,fwd,Delta,,
Clean & well maintained 2010 Honda pilot,11900,"184,700",0,https://www.craigslist.org/view/d/north-vancouver-clean-well-maintained/4YfXjiLb2Faiz1oHTnqBPr,excellent,gas,custom,clean,automatic,SUV,6 cylinders,4wd,North Vancouver,,
Chevy Cruze 2011 Clean Title 4 Cylinder,2960,"226,000",0,https://www.craigslist.org/view/d/new-westminster-southwest-chevy-cruze/rRWvzQUZBudb9LKuM3zgKD,excellent,gas,black,clean,automatic,sedan,4 cylinders,,New Westminster,,
2013 Range Rover Evoque,12000,"98,500",0,https://www.craigslist.org/view/d/vancouver-2013-range-rover-evoque/wCyNYojSQ3PKyADz5JZCyL,excellent,gas,silver,clean,automatic,SUV,4 cylinders,4wd,Vancouver,,
"2008 Saab 9-3 Aero Turbo Convertible – 2.8L V6 – Automatic – 197,000 K",10999,"197,500",0,https://www.craigslist.org/view/d/west-vancouver-2008-saab-3-aero-turbo/3veFXg6SgXCSVcKsCJPPVi,like new,gas,white,clean,automatic,convertible,6 cylinders,fwd,West Vancouver,,
2006 Mazda 3 $1300OBO quick sale,1300,"208,000",0,https://www.craigslist.org/view/d/delta-southwest-2006-mazda-obo-quick/neriusVgkzMcNrFqLvNaRW,fair,gas,,clean,manual,sedan,4 cylinders,fwd,city of vancouver,,
2017 Santa Fe Ultimate 2.0T – BRAND NEW ENGINE Installed by Hyundai,21000,300,0,https://www.craigslist.org/view/d/port-coquitlam-2017-santa-fe-ultimate/pfjkgCgDEUbtW3MvBn6hco,like new,gas,black,clean,automatic,SUV,4 cylinders,,Port Coquitlam,,
1987 Volvo 760,3500,"285,000",0,https://www.craigslist.org/view/d/delta-northeast-1987-volvo-760/iKEJWG3dtfoJckJrz6LBoc,good,gas,black,clean,automatic,,4 cylinders,rwd,Delta,,
Chevrolet Trax,3800,"220,000",0,https://www.craigslist.org/view/d/coquitlam-chevrolet-trax/19Abj17zVcMVzktuFax1ee,excellent,gas,,clean,automatic,,4 cylinders,fwd,Coquitlam,,
"2025 Nissan Rogue SV AWD Moonroof - Factory Warranty - 50,856 km",28900,"50,856",0,https://www.craigslist.org/view/d/surrey-inner-northwest-2025-nissan/gSLw45r734bpqhvkFA5wi9,excellent,gas,black,clean,automatic,SUV,3 cylinders,4wd,"Near King George Station, Surrey",JN8BT3BBXSW162920,
2004 Toyota Sequioa Limited,3600,"330,629",0,https://www.craigslist.org/view/d/new-westminster-2004-toyota-sequioa/hp4TDXoNJ1ZbSyGyc9BPr2,like new,gas,silver,clean,automatic,SUV,8 cylinders,4wd,New Westminster,,
Nissan Figaro,12000,"71,000",0,https://www.craigslist.org/view/d/burnaby-nissan-figaro/q1dUY9HkTamEHRGsreakGA,,gas,,clean,automatic,,,,Burnaby,,
Collectable 2022 Ford Mach 1,76800,"3,600",0,https://www.craigslist.org/view/d/richmond-southwest-collectable-2022/8oYRmpiQtSMJLfvr4ebaGr,like new,gas,white,clean,manual,coupe,8 cylinders,rwd,richmond,,
1998 Mercedes Benz E Class 430 for sale,7850,"360,000",0,https://www.craigslist.org/view/d/coquitlam-north-1998-mercedes-benz/7s7E29DSB7upMfifL7GRgs,good,gas,black,clean,automatic,sedan,8 cylinders,rwd,Coquitlam,,
"Nissan Pathfinder 2014 SL — Well Maintained, Priced to Sell",3000,"205,800",0,https://www.craigslist.org/view/d/richmond-south-nissan-pathfinder-2014/fqewdYZCs5cuVZa5Ehyfky,fair,gas,white,rebuilt,automatic,SUV,6 cylinders,4wd,Richmond,,
2014 fors escape AWD,3200,"189,000",0,https://www.craigslist.org/view/d/vancouver-2014-fors-escape-awd/okAcTe7TUWBrEJPvJfukH2,like new,gas,white,clean,automatic,SUV,4 cylinders,4wd,Vancouver,,
Honda CRV 2019,18000,"175,000",0,https://www.craigslist.org/view/d/richmond-honda-crv-2019/bsc8wZhvv3ZmabaYsdCLBY,,gas,,clean,automatic,SUV,4 cylinders,4wd,Richmond,,
Sold 2011 Toyota Sienna – One Owner – Low KM – well maintained,13800,"128,500",0,https://www.craigslist.org/view/d/richmond-northeast-sold-2011-toyota/eCH1UDWMBq8HGG6sV19yqL,excellent,gas,,clean,automatic,minivan,6 cylinders,,richmond,,
2010 Nissan Rogue SL AWD,8500,"133,214",0,https://www.craigslist.org/view/d/port-coquitlam-central-2010-nissan/hesAQzLHT15YknFSwVPkMM,good,gas,black,clean,automatic,SUV,4 cylinders,4wd,Port Coquitlam,,
2011BMW X3,13300,"153,300",0,https://www.craigslist.org/view/d/burnaby-2011bmw-x3/itAt6Jeq8fnUTcGWGCpThL,good,gas,,clean,automatic,SUV,6 cylinders,,richmond,,
"4x4 Land rover 2010 100,000 km mint shape",8000,"100,000",0,https://www.craigslist.org/view/d/vancouver-4x4-land-rover-km-mint-shape/5HcueDFmmhD59W5FbNuSVb,excellent,gas,black,clean,automatic,SUV,4 cylinders,4wd,city of vancouver,,
1967 Plymouth Hemi GTX,225000,80,0,https://www.craigslist.org/view/d/north-vancouver-1967-plymouth-hemi-gtx/jABT6WY79SaQ1jaAyogiPk,like new,gas,blue,clean,automatic,sedan,8 cylinders,rwd,north shore,,
GMC Sevana 2500,10000,210,0,https://www.craigslist.org/view/d/coquitlam-gmc-sevana-2500/qUY3dTWtag7afqsMtM6AVi,good,gas,white,clean,automatic,van,8 cylinders,fwd,Surrey,,
Honda accord 2009,6800,"240,000",0,https://www.craigslist.org/view/d/vancouver-honda-accord-2009/iUGa91KwSovHdSVFXdfSaR,good,gas,white,clean,automatic,sedan,4 cylinders,fwd,Vancouver,,
2006 Range Rover Supercharged. 4.2L supercharged V8,2800,"300,000",0,https://www.craigslist.org/view/d/delta-southeast-2006-range-rover/kkcrSgwAjEbixV66XDXc9e,fair,gas,silver,clean,automatic,SUV,8 cylinders,rwd,Tsawwassen,,
2020 gls 450,7500,"127,000",0,https://www.craigslist.org/view/d/burnaby-2020-gls-450/isAY86DQ74yuX5EjefGu6t,new,gas,white,clean,automatic,SUV,6 cylinders,4wd,Burnaby,,
Jaguar SVR 2020 Fpace,39850,"108,000",0,https://www.craigslist.org/view/d/burnaby-jaguar-svr-2020-fpace/uVvM6GWatzsqCSW5H5cUac,excellent,gas,grey,clean,automatic,SUV,8 cylinders,4wd,Burnaby,,
Mercedes cla250 2020,33800,"46,000",0,https://www.craigslist.org/view/d/burnaby-mercedes-cla/hbaeRqH2nZgJpByd6xCWFq,,gas,white,clean,automatic,coupe,4 cylinders,4wd,Burnaby,,
2013 Porsche Cayenne GTS,17900,"179,500",0,https://www.craigslist.org/view/d/coquitlam-2013-porsche-cayenne-gts/a4ypEiacoNWXtcTKt5enuM,good,gas,white,clean,automatic,SUV,8 cylinders,4wd,Coquitlam,,
Porsche Cayenne 2013 for sales,22000,"160,000",0,https://www.craigslist.org/view/d/richmond-northeast-porsche-cayenne-2013/8rrRGxYTfqAZmHHm2EUKcQ,like new,gas,black,clean,automatic,SUV,6 cylinders,4wd,Richmond,,
2019 Ford Transit Connect,25000,"64,740",0,https://www.craigslist.org/view/d/north-vancouver-north-central-2019-ford/8tvZJJbtXg1sMScj8ETvtk,good,gas,white,clean,automatic,van,4 cylinders,fwd,north shore,NM0LS7V25K1410068,
CASH FOR CARS,1234,"100,000",0,https://www.craigslist.org/view/d/surrey-cash-for-cars/3xqSLFcjPfgxz7pcGtna5T,excellent,gas,,clean,automatic,,,,Surrey,,
"2018 Dodge Grand Caravan GT – 115,000 km – Excellent Condition",18900,"115,000",0,https://www.craigslist.org/view/d/vancouver-2018-dodge-grand-caravan-gt/tyoTpcZJ1GB8Wt7kFAKS2j,excellent,gas,white,clean,automatic,minivan,6 cylinders,fwd,Downtown Vancouver,,
2011 BMW X5 50i,8500,"156,000",0,https://www.craigslist.org/view/d/vancouver-2011-bmw-x5-50i/fruH6PEko6xtvXmymx69Si,good,gas,white,clean,automatic,SUV,8 cylinders,4wd,Vancouver,,
Buying vehicles with mechanical issues,123,"120,000",0,https://www.craigslist.org/view/d/surrey-buying-vehicles-with-mechanical/ewdDv4nXXKTyXmcpXcFWg6,like new,gas,,clean,automatic,,,,Surrey,,
2010 Mini Cooper auto 104k km,6200,"104,000",0,https://www.craigslist.org/view/d/vancouver-2010-mini-cooper-auto-104k-km/odpMywRNsRFwQxMkMwVGac,excellent,gas,grey,clean,automatic,hatchback,4 cylinders,fwd,Vancouver,,
Buying cars,11111,"250,000",0,https://www.craigslist.org/view/d/surrey-buying-cars/p4rEqJKGP91d2rWU9yHsYR,new,gas,,clean,automatic,,,,Surrey,,
2019 Subaru Forrester Sport,23000,"125,000",0,https://www.craigslist.org/view/d/kingcome-inlet-2019-subaru-forrester/iMvqYmgPr6wgeCHcigqQF8,excellent,gas,black,clean,automatic,wagon,4 cylinders,4wd,Vancouver,,
2007 Jeep wrangler rubicon for sale... GREAT DEAL..,7999,"379,000",0,https://www.craigslist.org/view/d/surrey-upper-west-2007-jeep-wrangler/j68nto1pxHRafW7wb6jDzx,excellent,gas,silver,clean,automatic,SUV,6 cylinders,4wd,Surrey,,
2016 Ford Transit Connect,18000,"125,000",0,https://www.craigslist.org/view/d/port-coquitlam-south-2016-ford-transit/jYWCHFFEnHxmyGVxj6qMyC,excellent,gas,,clean,automatic,van,4 cylinders,,Port Coquitlam,,
2020 Cadillac CT4-V,47000,"62,000",0,https://www.craigslist.org/view/d/north-vancouver-southwest-2020-cadillac/pGMrLu6RvFJLVbG97XRCvm,like new,gas,white,clean,automatic,sedan,4 cylinders,4wd,North Vancouver,,
"Car for Rent, 700 per month, available for September",700,"90,000",0,https://www.craigslist.org/view/d/west-vancouver-south-car-for-rent-700/rLyjguFsartWZwxfdMfpbV,excellent,gas,,clean,automatic,,,4wd,North Vancouver,,
2018 Subaru WRX STI,30500,"79,064",0,https://www.craigslist.org/view/d/vancouver-2018-subaru-wrx-sti/1PTj2BqRxWeU8PXqyHEoky,excellent,gas,white,clean,manual,,4 cylinders,4wd,Vancouver,,
1947 Jeep Willys CJ2A,26900,"11,111",0,https://www.craigslist.org/view/d/vancouver-1947-jeep-willys-cj2a/9XsafXF1kqXedNCbVQdyLR,like new,gas,grey,clean,manual,truck,4 cylinders,4wd,Fairview,,
2007 volkswagon beetle,3980,"230,000",0,https://www.craigslist.org/view/d/vancouver-2007-volkswagon-beetle/hkmfjAwWnqnVF56dTn1ZfR,like new,gas,white,clean,automatic,convertible,4 cylinders,fwd,Vancouver,,
2015 Chevrolet Cruze,6000,"100,000",0,https://www.craigslist.org/view/d/vancouver-2015-chevrolet-cruze/pY4ih1wmjfJYtDPLHHhwEb,good,gas,,clean,manual,sedan,4 cylinders,,city of vancouver,,
Kia optima LX,6200,"162,000",0,https://www.craigslist.org/view/d/surrey-kia-optima-lx/pnBUNoDrLNH4wJVM1y7Hoq,excellent,gas,white,rebuilt,automatic,sedan,4 cylinders,fwd,Surrey,,
2003 mercedes C230,2900,"169,000",0,https://www.craigslist.org/view/d/surrey-upper-west-2003-mercedes-c230/cVB2SupSUwjbwPKcSGkKYp,good,gas,silver,rebuilt,automatic,coupe,4 cylinders,rwd,132 and 68th avenue,,
"Toyota, Land Cruiser, 1995",42000,"265,000",0,https://www.craigslist.org/view/d/coquitlam-toyota-land-cruiser-1995/1G64inY2u5VmQHB17Q8S3R,good,gas,red,clean,automatic,SUV,6 cylinders,fwd,tricities/pitt/maple,,
"2002 Suzuki carry, excellent mechanical condition",10000,"27,000",0,https://www.craigslist.org/view/d/new-westminster-northeast-2002-suzuki/g6MaU81dUktyXPG9zd1NTw,like new,gas,white,clean,manual,truck,3 cylinders,4wd,New westminster,,
Range Rover 2006 HSE Sports 148393KM,7777,"148,393",0,https://www.craigslist.org/view/d/surrey-range-rover-2006-hse-sports-km/hqeu5984oY9JBt6gLRM2QD,excellent,gas,red,clean,automatic,SUV,8 cylinders,fwd,Surrey,SALSF25476A975749,
2008 Nissan Versa with lots of updates,2999,"182,000",0,https://www.craigslist.org/view/d/vancouver-2008-nissan-versa-with-lots/8PcpxiSRwCnHYmPGgnFWsB,good,gas,,rebuilt,automatic,sedan,,,city of vancouver,,
2016 Chevy Suburban LT,21500,"233,000",0,https://www.craigslist.org/view/d/port-coquitlam-central-2016-chevy/szHTPwem3kDSnxPTGxr5or,good,gas,white,clean,automatic,SUV,8 cylinders,4wd,Coquitlam BC,,
$$$2016 Ford Escape Titaium AWD--For sale $$$,9999,"133,000",0,https://www.craigslist.org/view/d/maple-ridge-2016-ford-escape-titaium/6nGBphKRcVMWdD1LMvgnjp,excellent,gas,white,clean,automatic,SUV,,4wd,Maple Ridge,,
"2005 BMW X3 – 222,765 km – CarPlay + Backup Camera",2500,"222,765",0,https://www.craigslist.org/view/d/burnaby-2005-bmw-km-carplay-backup/kUUu5p1CmuWq5Vz9VH31fU,good,gas,blue,clean,automatic,SUV,,,Burnaby,,
Lexus Sc430,10000,"192,700",0,https://www.craigslist.org/view/d/north-vancouver-lexus-sc430/hgnghMiSioHHJ3BU3A3i6K,good,gas,,clean,automatic,convertible,8 cylinders,rwd,North Shore,,
1991 toyota corolla,4000,"157,000",0,https://www.craigslist.org/view/d/maple-ridge-1991-toyota-corolla/gtmuqhn8RVbCCRkhT132Yq,good,gas,blue,clean,automatic,sedan,4 cylinders,fwd,maple ridge,,
DODGE RAM B250,10750,"177,000",0,https://www.craigslist.org/view/d/north-vancouver-dodge-ram-b250/6u98DtMNUeVSqKUBx54ZeU,excellent,gas,white,clean,automatic,other,8 cylinders,rwd,North Vancouver,,
Looking for Mercedes G500 or G320,25000,"200,000",0,https://www.craigslist.org/view/d/richmond-south-looking-for-mercedes/63hgZoDqKKaJPRBDXrCp11,,gas,,clean,automatic,,,,city of vancouver,,
BMW iX 2024 xDrive 40,65000,"20,625",0,https://www.craigslist.org/view/d/vancouver-bmw-ix-2024-xdrive-40/2kFK1ABhj6nKrh7w9PUvQa,excellent,electric,grey,clean,automatic,SUV,,,city of vancouver,,
Mercedes-Benz SLK 350 Roadster | Hardtop Convertible | CarPlay | Android Auto,10250,"180,000",0,https://www.craigslist.org/view/d/surrey-mercedes-benz-slk-350-roadster/8B8VqyAWJS53XHJ36gYSns,good,gas,silver,clean,automatic,convertible,6 cylinders,rwd,South Surrey,,
Mazda CX5 2014,11300,"206,000",0,https://www.craigslist.org/view/d/port-coquitlam-mazda-cx5-2014/pPj7pfwpo1s9yXAAo8Atx4,excellent,gas,white,rebuilt,automatic,SUV,4 cylinders,fwd,Port coquitlam,,
Cadillac Fleetwood 1990 (Has Collectors Plate),5500,"230,000",0,https://www.craigslist.org/view/d/langley-city-cadillac-fleetwood-1990/cqKyvPBiPtxZGbqLDYbaHe,excellent,gas,brown,clean,automatic,sedan,8 cylinders,fwd,Langley,,
2012 BMW X5 M Package,17000,"135,000",0,https://www.craigslist.org/view/d/richmond-2012-bmw-x5-package/x3LfFVxJdPgveCtfvHipcK,,gas,,clean,automatic,SUV,,,Richmond,,
BMW Z3 Roadster Convertible 5-Speed Manual  > Only 105 K Miles,9900,"169,000",0,https://www.craigslist.org/view/d/vancouver-bmw-z3-roadster-convertible/2EiiKXZS2wLeUcs633vwHv,excellent,gas,blue,clean,manual,convertible,4 cylinders,4wd,Vancouver,,
2005 Lexus RX 330 AWD for sale,8000,"189,000",0,https://www.craigslist.org/view/d/surrey-northeast-2005-lexus-rx-330-awd/48GMesExpLhSWQxKTXPjDG,excellent,gas,silver,clean,automatic,SUV,,4wd,Surrey,,
"2011 Nissan Altima Sedan - Black, 158k km, Well Maintained",4600,"158,000",0,https://www.craigslist.org/view/d/surrey-lower-west-2011-nissan-altima/hUU6Xg5JvaTZmyT7pYYsWV,excellent,gas,black,rebuilt,automatic,sedan,4 cylinders,fwd,Surrey,,
2008 Ford econoline E-250,14800,"130,000",0,https://www.craigslist.org/view/d/burnaby-2008-ford-econoline-250/7vP7P8JfNCdp58HUzhH7pV,excellent,gas,,clean,automatic,van,,,city of vancouver,,
Drive Walter White’s Pontiac Aztek,2900,"243,000",0,https://www.craigslist.org/view/d/abbotsford-southeast-drive-walter/31oeexbWWgrNwgzSx2S5zX,like new,gas,grey,clean,automatic,SUV,6 cylinders,fwd,Abbotsford,,
2005 Mitsubishi high delica 4wd 86k km,11500,"85,500",0,https://www.craigslist.org/view/d/abbotsford-southwest-2005-mitsubishi/94nVsM3eZUmW5cSKBpbse6,,gas,,clean,automatic,,,4wd,abbotsford,,
"2001 Toyota grand hiace, 4wd, wheelchair lift. 25kkm. 2meter tall",28000,"25,000",0,https://www.craigslist.org/view/d/abbotsford-southwest-2001-toyota-grand/mzL7PL5pQ9r15YoYKgQz8g,,gas,,clean,automatic,,,4wd,abbotsford,,
2018 Tesla Model 3 Long Range AWD,1600,"96,000",0,https://www.craigslist.org/view/d/vancouver-2018-tesla-model-long-range/kpR8BeZUFnXWoty9dsdgzz,excellent,electric,black,clean,automatic,sedan,other,4wd,Burnaby,,
2024 Nissan kicks SV,22500,"4,950",0,https://www.craigslist.org/view/d/surrey-east-2024-nissan-kicks-sv/vgU1W6ADANWY6VNTv33CpC,like new,gas,white,clean,automatic,hatchback,,,delta/surrey/langley,,
2018 HONDA ACCORD LX CLEAN TITLE,13500,"235,415",0,https://www.craigslist.org/view/d/surrey-northeast-2018-honda-accord-lx/aoVkoXUePa4GXEDEdL2gSg,fair,gas,,clean,automatic,sedan,4 cylinders,fwd,delta/surrey/langley,,
"1999 Toyota Corolla | 285,499km | Clean",1800,"285,499",0,https://www.craigslist.org/view/d/vancouver-1999-toyota-corolla-km-clean/dXb1GqwBt4W5pYd7R1MK2u,fair,gas,green,clean,automatic,sedan,4 cylinders,fwd,Vancouver,,
2006 Pontiac Montana Minivan,3000,"163,137",0,https://www.craigslist.org/view/d/delta-southeast-2006-pontiac-montana/hx1g8r5hdLLnxbnBQx7zLP,good,gas,grey,clean,automatic,minivan,,fwd,delta/surrey/langley,,
2014 Nissan sentra SV,6500,"131,314",0,https://www.craigslist.org/view/d/delta-northeast-2014-nissan-sentra-sv/66yDrbwefYD2rKiZf6Jmop,excellent,gas,white,clean,automatic,sedan,4 cylinders,fwd,North delta,,
2015 Chrysler 300 S,12500,"65,800",0,https://www.craigslist.org/view/d/richmond-southwest-2015-chrysler-300/3E9NFmLDYNZv6RPVtK8vjU,excellent,gas,grey,clean,automatic,sedan,6 cylinders,rwd,richmond,2C3CCABG2FH848832,
BMW325I,3700,"198,952",0,https://www.craigslist.org/view/d/surrey-outer-northwest-bmw325i/jd1oshNSNPBRsscCjVUh3p,,gas,black,clean,automatic,,,fwd,Sureey,,
"2019 FORD TRANSIT 350 XLT HIGH ROOF DIESEL | 84,274 KM | 11 PASSENGER",42900,"84,274",0,https://www.craigslist.org/view/d/vancouver-2019-ford-transit-350-xlt/mWP3jD4VDzbF22sY1Sjsby,excellent,diesel,white,clean,automatic,van,5 cylinders,rwd,city of vancouver,,
2020 Subaru WRX STI,44500,"63,500",0,https://www.craigslist.org/view/d/pitt-meadows-2020-subaru-wrx-sti/89E92aB3FbcvqwDNMd1dS8,excellent,gas,grey,clean,manual,sedan,4 cylinders,4wd,Pitt meadow,,
2006 Volkswagen Jetta,4100,"280,000",0,https://www.craigslist.org/view/d/vancouver-2006-volkswagen-jetta/dKKcCZNaGFn84w4JMLMGhe,good,diesel,,clean,automatic,sedan,,,city of vancouver,,
YAMAHA 25 hp short shaft outboard,2400,106,0,https://www.craigslist.org/view/d/vancouver-yamaha-25-hp-short-shaft/2EkXnnEe9KYQk6ExaPojTE,like new,gas,grey,clean,automatic,other,4 cylinders,,city of vancouver,,
2010 Ford Escape XLT 175000 km,5300,"175,000",0,https://www.craigslist.org/view/d/vancouver-2010-ford-escape-xlt-km/c8C9sp9RJggdaMfbrpoCPb,good,gas,yellow,clean,automatic,SUV,6 cylinders,4wd,vancouver,,
2017 Toyota Tacoma Off Road TRD Pro,25000,"206,000",0,https://www.craigslist.org/view/d/white-rock-2017-toyota-tacoma-off-road/3P14JbsUagsQMEn7GSr1b9,excellent,gas,white,clean,automatic,pickup,6 cylinders,4wd,White Rock,,
2011 Honda Accord,8800,"184,000",0,https://www.craigslist.org/view/d/burnaby-2011-honda-accord/tRD7GwyiazPdrWv4Rs2hfK,excellent,gas,,rebuilt,automatic,,6 cylinders,fwd,Burnaby,,
1984 Volvo-Needs Work,1500,"195,711",0,https://www.craigslist.org/view/d/vancouver-1984-volvo-needs-work/ng9VqxcL5xUvjchHTxFPVf,fair,gas,,clean,automatic,,,,East Vancouver,,
f150 flare side,20000,"215,000",0,https://www.craigslist.org/view/d/burnaby-f150-flare-side/d8XBmJQA2PiABrsNUqJSv2,excellent,gas,blue,rebuilt,manual,pickup,8 cylinders,4wd,Burnaby,,
2011 bmw x6,4000,"330,000",0,https://www.craigslist.org/view/d/surrey-northeast-2011-bmw-x6/kBdHDp2Z5tnSLn99rvE89N,good,gas,,clean,automatic,SUV,6 cylinders,4wd,Surrey,,
2019 sonata,8999,"143,000",0,https://www.craigslist.org/view/d/vancouver-2019-sonata/7t3q8cjYb5T3zrkxWhhspL,excellent,gas,silver,rebuilt,automatic,,,fwd,Vancouver,,
2012 Kia Forte Koup,5800,"124,700",0,https://www.craigslist.org/view/d/surrey-2012-kia-forte-koup/mWKrKN963TqXpspfm9G4sT,good,gas,white,rebuilt,automatic,sedan,,fwd,Clayton Heights/Surrey,,
Nissan pathfinder & camping setup,8000,"250,742",0,https://www.craigslist.org/view/d/vancouver-nissan-pathfinder-camping/tjtHGofRYq57ytY7s14AY6,good,gas,red,clean,automatic,SUV,6 cylinders,4wd,Vancouver,,
Toyota corolla,5000,"230,000",0,https://www.craigslist.org/view/d/delta-northeast-toyota-corolla/dBTkdUtcrFcytUU3FhE382,good,gas,silver,clean,automatic,sedan,4 cylinders,fwd,Surrey,,
VW Tiguan 2017,18995,"68,844",0,https://www.craigslist.org/view/d/burnaby-vw-tiguan-2017/sTD5VRrurRLEHqf4QreYYQ,excellent,gas,white,clean,automatic,SUV,4 cylinders,,Burnaby,,
2012 Impreza WRX STI Sport Tech Sedan,18000,"166,000",0,https://www.craigslist.org/view/d/burnaby-2012-impreza-wrx-sti-sport-tech/ddCruwaBG4V675gB2t9qTw,excellent,gas,black,clean,manual,sedan,4 cylinders,4wd,Burnaby,,
2017 Ford Transit Connect,26000,"96,000",0,https://www.craigslist.org/view/d/coquitlam-2017-ford-transit-connect/dLrbySYmgo8LQmrb2RvRa6,,gas,,clean,automatic,,,,Coquitlam,,
2017 Hyundai Santa Fe Sport Ultimate 2.0L AWD,15999,"126,500",0,https://www.craigslist.org/view/d/abbotsford-southeast-2017-hyundai-santa/festj5GoP8ucTwbnA8yFuw,like new,gas,black,clean,automatic,SUV,4 cylinders,4wd,Abbotsford B.C.,5XYZUDLA9HG459900,
2001 Audi A4 Quattro,2000,"157,000",0,https://www.craigslist.org/view/d/delta-2001-audi-a4-quattro/a4SjaBu9udLebPd9J6G54s,fair,gas,black,clean,automatic,sedan,6 cylinders,,Ladner,,
2008 Honda pilot EXL,3200,"320,000",0,https://www.craigslist.org/view/d/richmond-2008-honda-pilot-exl/9vq35iWh5v6XxpK1HG1Urc,good,gas,grey,clean,automatic,SUV,6 cylinders,4wd,Richmond,5FNYF18668B503562,
2014 Chrysler Town & Country - Sunroof - Leather,8450,"230,000",0,https://www.craigslist.org/view/d/north-vancouver-2014-chrysler-town/5DoqM3Kj53gcuFD4afbix7,excellent,gas,,clean,automatic,minivan,6 cylinders,fwd,North Vancouver,,
2000 Nissan Skyline R34,19995,"98,116",0,https://www.craigslist.org/view/d/richmond-2000-nissan-skyline-r34/q6AWitoApx1MSGBFi1YPoT,excellent,gas,custom,clean,manual,sedan,6 cylinders,4wd,Richmond,,
2019 Audi RS 5 Sportback 2.9 TFSI quattro,53995,"63,977",0,https://www.craigslist.org/view/d/richmond-2019-audi-rs-sportback-29-tfsi/mCxgY37oYRn7uZZXfL7pox,like new,gas,red,clean,automatic,hatchback,6 cylinders,4wd,Richmond,WUACWCF59KA903344,
2018 Mercedes-Benz C-Class C 300 4MATIC/ WOOD TRIM PKG/ CLEAN TITLE/ B,19800,"89,655",0,https://www.craigslist.org/view/d/richmond-2018-mercedes-benz-class-300/aaNeZeE6VGFmvxbG4RvLUP,excellent,gas,silver,clean,automatic,sedan,4 cylinders,,Richmond,55SWF4KB3JU254818,
2024 Porsche 911 carrera gts coupe,218000,"7,451",0,https://www.craigslist.org/view/d/richmond-2024-porsche-911-carrera-gts/oajWicyXjw7GxJqe7VoMSA,excellent,gas,grey,clean,automatic,coupe,6 cylinders,,Richmond,WP0AB2A9XRS221629,
2016 Tesla model x 90D,37995,"67,046",0,https://www.craigslist.org/view/d/richmond-2016-tesla-model-90d/1ZNFYViEJ9mHovuMYG6W2n,good,electric,grey,clean,other,SUV,,,Richmond,5YJXCBE2XGF013443,
2021 Mercedes-Benz cls 450 4matic,42995,"88,728",0,https://www.craigslist.org/view/d/richmond-2021-mercedes-benz-cls-450/srLpB43LQXU2MGUcziSbCk,excellent,gas,black,clean,automatic,sedan,6 cylinders,4wd,Richmond,W1K2J5KB0MA089754,
2007 Toyota Yaris hatchback 2 door,4200,"212,000",0,https://www.craigslist.org/view/d/new-westminster-2007-toyota-yaris/eycBR6QKGZsKVi3zup9ZRZ,good,gas,red,clean,automatic,hatchback,,fwd,New Westminster,,
FOUR OEM FORD CENTER CUP SET. NEW,80,"1,000",0,https://www.craigslist.org/view/d/surrey-four-oem-ford-center-cup-set-new/2abpmDjeHATiPehjWPUU2o,,gas,,parts only,automatic,,,,Cloverdale Langley Surrey white rock,,
"2010 Jeep Compass 4X4, north edition",6700,"209,000",0,https://www.craigslist.org/view/d/surrey-northeast-2010-jeep-compass-4x4/bvSEs5kw8mcsRsmJ6g7V8X,,gas,,clean,automatic,SUV,,,delta/surrey/langley,,
2022 Toyota GR86 Premium Manual/ CLEAN TITLE/ BC LOCAL,34995,"38,482",0,https://www.craigslist.org/view/d/richmond-2022-toyota-gr86-premium/dT1YDwF5ueUyPbQpmUirhy,excellent,gas,white,clean,manual,coupe,4 cylinders,rwd,Richmond,JF1ZNBE12N9751387,
2024 Mitsubishi Mirage 16286 KM,20000,"16,286",0,https://www.craigslist.org/view/d/vancouver-2024-mitsubishi-mirage-km/v2QmtyxxFNd34ohQhQWDUy,like new,gas,black,clean,automatic,hatchback,3 cylinders,fwd,Vancouver,ML32AWHJ4RH026141,
2019 Tesla 3 rwd standard range plus,20000,"131,000",0,https://www.craigslist.org/view/d/surrey-east-2019-tesla-rwd-standard/rwTisvDCzAuz6SgkyDom2C,excellent,electric,blue,clean,automatic,other,,rwd,Surrey,5YJ3E1EA7KF419067,
WTB Porsche 996 Carrera 2 (911) with Aero kit,911,996,0,https://www.craigslist.org/view/d/burnaby-wtb-porsche-996-carrera-with/p5B4GhPuuq2nZAcSLdequA,,gas,,clean,manual,,,,city of vancouver,,
WTB Mercedes G500 / G550 G-Wagom,500,100,0,https://www.craigslist.org/view/d/burnaby-wtb-mercedes-g500-g550-wagom/9r3J4rApmhD4HMMPZZsdvE,,gas,,clean,automatic,,,,city of vancouver,,
WTB Porsche Cayenne Diesel 958,958,958,0,https://www.craigslist.org/view/d/burnaby-wtb-porsche-cayenne-diesel-958/jrLhnG4nQ9eaaJQxvcNAGP,,diesel,,clean,automatic,SUV,,,city of vancouver,,
