name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt
Mercedes Benz G63 AMG matte black,85900,"79,500",0,https://www.craigslist.org/view/d/vancouver-mercedes-benz-g63-amg-matte/r91ogRUt5M9Xjf4gUh55QC,like new,gas,black,clean,automatic,,8 cylinders,,Vancouver,,
2003 Nissan Altima,3400,"184,000",0,https://www.craigslist.org/view/d/mission-east-2003-nissan-altima/mY5Wie8y9UHGB4FNiDnfuG,excellent,gas,grey,clean,automatic,sedan,4 cylinders,,Mission,,
1979 Dodge -Rebuilt 360 engine,1500,"1,000",0,https://www.craigslist.org/view/d/surrey-1979-dodge-rebuilt-360-engine/49wuxdTFok2CrdW1oAgpRe,,gas,,parts only,other,,,,Surrey,,
"2008 Lexus RX 350 AWD – 210,000 km",7800,"210,000",0,https://www.craigslist.org/view/d/burnaby-2008-lexus-rx-350-awd-km/drwokCGyf79Lu6cGbaaaGU,good,gas,black,clean,automatic,SUV,,4wd,Burnaby,,
2012 Nissan altima,1950,"160,000",0,https://www.craigslist.org/view/d/burnaby-2012-nissan-altima/5ecNcPhqWtUKMFzid3aYf2,,gas,,clean,automatic,sedan,,,Burnaby,,
W.T.B. 2005 -2006 silverado ss intimidator,123456,1,0,https://www.craigslist.org/view/d/burnaby-wtb-silverado-ss-intimidator/c9Gm64QXVgbpWgZLvw6p7M,,gas,,clean,automatic,,,,Burnaby,,
WTB 2005  to 2006 Silverado SS RWD Pickup,-1,"100,000",0,https://www.craigslist.org/view/d/burnaby-wtb-2005-to-2006-silverado-ss/8kpRdkTtGz9oKdwNyn4nu5,new,gas,,clean,automatic,,,,Burnaby,,
2008 Chevy cobolt,8000,"57,402",0,https://www.craigslist.org/view/d/vancouver-2008-chevy-cobolt/mDGuYggPUZ7bUUzgLfTcRV,like new,gas,,clean,automatic,sedan,,,Vancouver,,
2010 Ford Fusion SEL - Runs & Drives Excellent!!,4500,"203,000",0,https://www.craigslist.org/view/d/surrey-upper-west-2010-ford-fusion-sel/uVbueUupcgEqcZNaPn1eEb,good,gas,grey,rebuilt,automatic,sedan,4 cylinders,fwd,Surrey,,
Toyota Prius 2007,6500,"319,000",0,https://www.craigslist.org/view/d/new-westminster-northeast-toyota-prius/cGDb4RYht7QpwNfwSHQfpY,good,gas,blue,clean,automatic,sedan,4 cylinders,,New Westminster,,
1972 TR6 Restoration Project Vehicle,8000,111,0,https://www.craigslist.org/view/d/surrey-1972-tr6-restoration-project/rgWgbDwHb14AsUYQBzD2Jo,good,gas,,clean,manual,convertible,4 cylinders,,Surrey,,
2009 Toyota Corolla,2950,"179,000",0,https://www.craigslist.org/view/d/vancouver-2009-toyota-corolla/d3Fv86MD2ysiHZqcKyXmck,good,gas,white,clean,automatic,sedan,4 cylinders,fwd,Vancouver,,
1955 Dodge Royal Lancer,6000,"85,000",0,https://www.craigslist.org/view/d/surrey-1955-dodge-royal-lancer/9SVHtcXPai5LZkc2V8b1Rk,,gas,,clean,automatic,,,,Surrey,,
"1969 Mustang. Solid body, 390 engine, automatic",6000,"100,000",0,https://www.craigslist.org/view/d/surrey-1969-mustang-solid-body-390/jXJQtN5PkL6x5JzZ35N4mC,,gas,,clean,automatic,coupe,,,Surrey,,
1975 Bricklin SV1,5500,"100,000",0,https://www.craigslist.org/view/d/surrey-1975-bricklin-sv1/vU2CL5MoHSTEYyQcTnH1QK,,gas,,clean,automatic,,,,Surrey,,
1985 Mercedes 300d diesel. PARTS OR WHOLE,50,"300,000",0,https://www.craigslist.org/view/d/surrey-1985-mercedes-300d-diesel-parts/j1iwyUuB2SyZk43UEBPFWY,,diesel,,clean,automatic,,,,Surrey,,
1982 Volkswagen Westfalia pop up campervan,5000,"130,000",0,https://www.craigslist.org/view/d/surrey-1982-volkswagen-westfalia-pop-up/dCXvmv5PvoT41rhBJJAZyK,,gas,,clean,manual,van,,,Surrey,,
1964 Pontiac Grand Prix,20000,,0,https://www.craigslist.org/view/d/surrey-1964-pontiac-grand-prix/cC4ZjyfmZziATbR6FeKhT8,good,gas,white,missing,automatic,,8 cylinders,rwd,Surrey,,
"NEW Nissan Rogue (2014-2020) Floor Mats, Carpet",75,1,0,https://www.craigslist.org/view/d/richmond-south-new-nissan-rogue-floor/2XGLhn7NZYFGveewJCeBef,new,other,black,clean,other,SUV,,,Richmond,,
2005 Maserati cambiocorsa coupe,29000,"35,700",0,https://www.craigslist.org/view/d/new-westminster-southwest-2005-maserati/4gykbLP2wWCuHwQRA3TsBH,excellent,gas,black,clean,other,coupe,8 cylinders,rwd,New Westminster,,
2006 BMW M6 *V10 Monster*,24000,"154,000",0,https://www.craigslist.org/view/d/delta-northeast-2006-bmw-m6-v10-monster/c69Q1vemsEvWeHvrrPkL5a,excellent,gas,,rebuilt,other,,10 cylinders,,Delta,,
2006 BMW 750I,12500,"149,000",0,https://www.craigslist.org/view/d/coquitlam-north-2006-bmw-750i/fiJgmJkeUoXRT9VxhoucBH,like new,gas,,clean,automatic,sedan,8 cylinders,4wd,Coquitlam,,
1969 beaumont.fresh build,32000,"1,235",0,https://www.craigslist.org/view/d/langley-city-1969-beaumontfresh-build/rDbDMrL4wEfWkoSNL8aocn,good,gas,blue,clean,automatic,coupe,8 cylinders,,Langley,,
