name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN
Quick Moving * 2016 Subaru WRX sports PKG . 6 speed manual*Clean Title,"$15,500",Surrey,https://www.craigslist.org/view/d/surrey-upper-west-quick-moving-subaru/7vUUDc4RGP5qwgGVR3sniy,excellent,4 cylinders,4wd,gas,"170,000",,clean,manual,sedan,
2009 Nissan Rogue SL AWD  SUV .. Automatic.. 4 cylinders,"$3,900",Surrey,https://www.craigslist.org/view/d/surrey-upper-west-2009-nissan-rogue-sl/eC3x1VQg8yrQNGeWFqT7BZ,good,4 cylinders,4wd,gas,"237,000",,clean,automatic,SUV,
2013 Sprinter 2500 high roof extra long base cargo van camper van,"$1,234",Surrey,https://www.craigslist.org/view/d/surrey-north-2013-sprinter-2500-high/oDzKawhSa9Pwk7S66zPLPz,excellent,6 cylinders,rwd,diesel,"1,234",white,salvage,automatic,van,
2017 Subaru Crosstrek  eyesighted  camera AWD SUV 71k Outback Forester,"$11,550",109xx 139a st Surrey,https://www.craigslist.org/view/d/surrey-north-2017-subaru-crosstrek/tT8NwZL61maxFXxgBtNhpx,excellent,4 cylinders,4wd,gas,"71,000",grey,rebuilt,automatic,SUV,
2016 Nissan Leaf EV great condition no issue 120kms for full charge,"$6,550",109xx 139a st Surrey,https://www.craigslist.org/view/d/surrey-north-2016-nissan-leaf-ev-great/bc8YnZzAdZ21quL5JGi31Y,excellent,,fwd,electric,"122,000",grey,rebuilt,automatic,hatchback,
Volvo V70 wagon Awd turbo clean luxury,"$2,750",delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-volvo-v70-wagon-awd-turbo/wiYe4Wq6u3kZWkbi6pHD9o,,,,gas,"50,000",,clean,automatic,wagon,
*** CLASSIC C4 CORVETTE -REMOVABLE TARGA TOP ***,"$12,500",Vancouver,https://www.craigslist.org/view/d/vancouver-classic-c4-corvette-removable/gHehYwSpcxGhCyEw4ki69N,good,8 cylinders,rwd,gas,"157,400",grey,clean,automatic,coupe,
2014 Chevrolet Cruze LT,"$9,995",Surrey,https://www.craigslist.org/view/d/surrey-2014-chevrolet-cruze-lt/f5pymwtjH83mq7mWs853FL,,,,gas,"89,640",,clean,automatic,sedan,
2019 Honda Accord EX-L,"$26,995",Surrey,https://www.craigslist.org/view/d/surrey-2019-honda-accord-ex/cnzaHZ4Brux7ZBGbUfe7m7,,,,gas,"66,100",,clean,automatic,sedan,
2015 Hyundai Elantra,"$11,995",Surrey,https://www.craigslist.org/view/d/surrey-2015-hyundai-elantra/7eQ76HpwZgvw6LFqejWJjR,,,,gas,"64,108",,clean,automatic,,
2018 Subaru BRZ Sport-Tech RS,"$16,995",Surrey,https://www.craigslist.org/view/d/surrey-2018-subaru-brz-sport-tech-rs/nvwHFQucKDC6SRkU86B6X5,,,,gas,"190,877",,clean,automatic,coupe,
2019 Ford Fusion Hybrid Titanium,"$18,995",Surrey,https://www.craigslist.org/view/d/surrey-2019-ford-fusion-hybrid-titanium/pHSCgaFw4QGjpiskWeVfP4,,,,hybrid,"133,380",,clean,automatic,sedan,
